"","dim","stepsize","ESS","AR"
"1",1000,0.1,14.3563569256975,0.9984
"2",1000,0.2,72.7878559342943,0.9917
"3",1000,0.3,165.501308899585,0.972
"4",1000,0.4,302.393400479818,0.9371
"5",1000,0.5,501.323032060999,0.8841
"6",1000,0.6,652.694109902749,0.7877
"7",1000,0.7,798.253189880117,0.6665
"8",1000,0.8,736.976078212513,0.5227
"9",1000,0.9,584.919845088179,0.3572
"10",1000,1,295.960603375208,0.2064
"11",1000,1.1,104.839373629538,0.085
"12",1000,1.2,14.4329316363962,0.029
"13",1000,1.3,0,0
"14",1000,1.4,1.11796650588861,5e-04
"15",1000,1.5,0,0
"16",1000,1.6,0,0
"17",1000,1.7,0,0
"18",1000,1.8,0,0
"19",1000,1.9,0,0
"20",1000,2,0,0
